127.0.0.1 - - [23/Mar/2023:21:28:53 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 11190
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/pro13.png HTTP/1.1" 200 13683
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/pro12.png HTTP/1.1" 200 8093
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/pro14.png HTTP/1.1" 200 14309
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/5923168qua-bong-da-fifa-uhv-205.jpg HTTP/1.1" 200 21973
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/pro11.png HTTP/1.1" 200 10307
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/images/pro15.png HTTP/1.1" 200 18716
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/assets/img/white_leather.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/2.png HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/1.png HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/3.png HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/4.png HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/5.png HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/6.png HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/mc.png HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/maestro.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/pp.png HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/visa.png HTTP/1.1" 200 1695
